Risk ID,Title,Category,Probability %,Activity ID,Activity Name,CBS,CBS Name,Schedule O,Schedule M,Schedule P,Cost O BN,Cost M BN,Cost P BN,Owner,Trigger,Mitigation,Basis Cost,Basis Schedule
R-D01,Grid connection delay,Utilities,48,A1400,"Planning, regulatory and stakeholder approvals",01.04,MEP / Systems / Utilities,20,80,220,0.322,1.072,2.359,Utilities Lead,Grid agreement unsigned,"Secure grid agreement, temporary power, early equipment orders","Cost impact derived from 01.04 MEP / Systems / Utilities exposure, project P50 $10.7B, and risk severity (3%/10%/22%).","Schedule impact mapped to A1400 Planning, regulatory and stakeholder approvals with O/M/P delay 20/80/220 days and critical path sensitivity."
R-002,Market escalation,Commercial,45,A1700,Long-lead procurement,01.07,Power Train / Substations,0,0,0,0.429,1.072,2.144,Commercial Lead,Index exceeds allowance,"Early procurement, index strategy, market testing","Cost impact derived from 01.07 Power Train / Substations exposure, project P50 $10.7B, and risk severity (4%/10%/20%).",Schedule impact mapped to A1700 Long-lead procurement with O/M/P delay 0/0/0 days and critical path sensitivity.
R-004,Design maturity gap,Technical,38,A1900,Main construction / fabrication / assembly,01.09,Direct Labour,15,45,120,0.322,0.965,1.93,Design Manager,Deliverables late,Design maturity gates and independent review,"Cost impact derived from 01.09 Direct Labour exposure, project P50 $10.7B, and risk severity (3%/9%/18%).",Schedule impact mapped to A1900 Main construction / fabrication / assembly with O/M/P delay 15/45/120 days and critical path sensitivity.
R-001,Scope growth,Scope,42,A1600,Detailed design / IFC development,01.06,Data Halls / White Space,15,45,120,0.322,0.858,1.715,Project Director,Scope change rate exceeds threshold,"Freeze scope, change board, value gates","Cost impact derived from 01.06 Data Halls / White Space exposure, project P50 $10.7B, and risk severity (3%/8%/16%).",Schedule impact mapped to A1600 Detailed design / IFC development with O/M/P delay 15/45/120 days and critical path sensitivity.
R-006,Productivity underperformance,Delivery,35,A2100,"Commissioning, operations readiness and closeout",01.11,Plant / Equipment,15,50,130,0.322,0.858,1.715,Delivery Lead,SPI/CPI deteriorates,Package productivity controls and daily planning,"Cost impact derived from 01.11 Plant / Equipment exposure, project P50 $10.7B, and risk severity (3%/8%/16%).","Schedule impact mapped to A2100 Commissioning, operations readiness and closeout with O/M/P delay 15/50/130 days and critical path sensitivity."
R-005,Supply chain delay,Procurement,40,A2000,Systems integration and testing,01.10,Direct Materials,10,40,120,0.214,0.751,1.608,Procurement Lead,Supplier promise date slips,"Alternate suppliers, early orders, expediting","Cost impact derived from 01.10 Direct Materials exposure, project P50 $10.7B, and risk severity (2%/7%/15%).",Schedule impact mapped to A2000 Systems integration and testing with O/M/P delay 10/40/120 days and critical path sensitivity.
R-D02,Cooling system capacity,Technical,34,A1500,Procurement strategy and tender packaging,01.05,Specialist Equipment / Fit-Out,10,40,120,0.214,0.751,1.608,MEP Lead,Cooling tests fail,Early thermal modelling and supplier validation,"Cost impact derived from 01.05 Specialist Equipment / Fit-Out exposure, project P50 $10.7B, and risk severity (2%/7%/15%).",Schedule impact mapped to A1500 Procurement strategy and tender packaging with O/M/P delay 10/40/120 days and critical path sensitivity.
R-008,Interface misalignment,Integration,34,P2000,Data halls,02.02,Design / Professional Fees,10,35,100,0.214,0.751,1.501,Integration Manager,Interface actions overdue,ICDs and weekly interface board,"Cost impact derived from 02.02 Design / Professional Fees exposure, project P50 $10.7B, and risk severity (2%/7%/14%).",Schedule impact mapped to P2000 Data halls with O/M/P delay 10/35/100 days and critical path sensitivity.
R-007,Commissioning delay,Handover,32,P1000,Grid connection,02.01,General Conditions / Prelims,10,35,100,0.214,0.643,1.287,Commissioning Lead,Test failures trend upward,Commissioning readiness and early test plans,"Cost impact derived from 02.01 General Conditions / Prelims exposure, project P50 $10.7B, and risk severity (2%/6%/12%).",Schedule impact mapped to P1000 Grid connection with O/M/P delay 10/35/100 days and critical path sensitivity.
R-003,Permits / approvals delay,Regulatory,35,A1800,Site / launch integration readiness,01.08,Cooling Systems,20,70,180,0.107,0.429,0.858,Consents Lead,Consent milestone slips,"Authority plan, consent tracker, early submissions","Cost impact derived from 01.08 Cooling Systems exposure, project P50 $10.7B, and risk severity (1%/4%/8%).",Schedule impact mapped to A1800 Site / launch integration readiness with O/M/P delay 20/70/180 days and critical path sensitivity.
