Level,Activity ID,Phase,Activity,Predecessor,Duration Months,Critical,Basis
1,M100,Milestone,Investment approval,,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M200,Milestone,Design complete,M100,17,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M300,Milestone,Procurement complete,M200,13,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M400,Milestone,Delivery complete,M300,35,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M500,Milestone,Ready for operations,M400,13,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M600,Milestone,Handover,M500,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1000,Governance,Project initiation / controls setup,,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1100,Business Case,"Strategic brief, funding and approval",A1000,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1200,Scope,Requirements definition and scope freeze,A1100,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1300,Design,Concept / reference architecture,A1200,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1500,Procurement,Procurement strategy and tender packaging,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1600,Design,Detailed design / IFC development,A1300,9,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1700,Procurement,Long-lead procurement,A1500,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1800,Enabling,Site / launch integration readiness,A1400;A1500,6,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,19,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A2000,Integration,Systems integration and testing,A1900,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1000,Governance,Project initiation / controls setup,,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1100,Business Case,"Strategic brief, funding and approval",A1000,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1200,Scope,Requirements definition and scope freeze,A1100,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1300,Design,Concept / reference architecture,A1200,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1500,Procurement,Procurement strategy and tender packaging,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1600,Design,Detailed design / IFC development,A1300,9,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1700,Procurement,Long-lead procurement,A1500,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1800,Enabling,Site / launch integration readiness,A1400;A1500,6,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,19,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A2000,Integration,Systems integration and testing,A1900,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1000,Governance,Project initiation / controls setup,,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1100,Business Case,"Strategic brief, funding and approval",A1000,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1200,Scope,Requirements definition and scope freeze,A1100,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1300,Design,Concept / reference architecture,A1200,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1500,Procurement,Procurement strategy and tender packaging,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1600,Design,Detailed design / IFC development,A1300,9,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1700,Procurement,Long-lead procurement,A1500,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1800,Enabling,Site / launch integration readiness,A1400;A1500,6,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,19,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A2000,Integration,Systems integration and testing,A1900,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P1000,Package,Airfield works,A1900,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P2000,Package,Terminal systems,P1000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P3000,Package,Baggage/security systems,P2000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P4000,Package,ORAT,P3000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1000,Governance,Project initiation / controls setup,,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1100,Business Case,"Strategic brief, funding and approval",A1000,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1200,Scope,Requirements definition and scope freeze,A1100,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1300,Design,Concept / reference architecture,A1200,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1500,Procurement,Procurement strategy and tender packaging,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1600,Design,Detailed design / IFC development,A1300,9,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1700,Procurement,Long-lead procurement,A1500,8,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1800,Enabling,Site / launch integration readiness,A1400;A1500,6,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,19,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A2000,Integration,Systems integration and testing,A1900,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1000,Package,Airfield works,A1900,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1100,Activity,Airfield works - mobilise / method,A1900,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1200,Activity,Airfield works - execute works,P1100,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P1300,Activity,Airfield works - inspect / closeout,P1200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2000,Package,Terminal systems,P1000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2100,Activity,Terminal systems - mobilise / method,P1000,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2200,Activity,Terminal systems - execute works,P2100,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P2300,Activity,Terminal systems - inspect / closeout,P2200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3000,Package,Baggage/security systems,P2000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3100,Activity,Baggage/security systems - mobilise / method,P2000,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3200,Activity,Baggage/security systems - execute works,P3100,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P3300,Activity,Baggage/security systems - inspect / closeout,P3200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4000,Package,ORAT,P3000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4100,Activity,ORAT - mobilise / method,P3000,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4200,Activity,ORAT - execute works,P4100,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,P4300,Activity,ORAT - inspect / closeout,P4200,1,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
